                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4733,                 3.4993,                 1.4684,                0.14714,                0.44124,                0.14956,                0.08114,                 1.5464,                 2.8588,                 1.5722,             0.00065041,             0.00065041,             0.00065041
                      2,                  1.553,                 1.9492,                 1.5074,                0.02627,                0.52459,                0.02238,                0.00987,                 1.9757,                    192,                 2.9356,              0.0012301,              0.0012301,              0.0012301
                      3,                 1.5904,                 1.8794,                 1.5389,                0.01079,                0.04918,                0.00532,                0.00263,                  4.234,                 416.74,                 7.4983,              0.0017219,              0.0017219,              0.0017219
                      4,                 1.5614,                 1.8016,                 1.5466,                 0.3153,                0.21311,                0.16896,                0.05026,                 3.3902,                 5.2017,                 4.7076,               0.001604,               0.001604,               0.001604
                      5,                  1.492,                 1.6454,                 1.4976,                0.79945,                0.60656,                0.62318,                  0.277,                 1.6509,                 2.4625,                  1.509,               0.001472,               0.001472,               0.001472
                      6,                 1.3886,                 1.4881,                 1.4347,                0.70009,                0.57377,                0.67109,                0.43352,                 1.4025,                 1.5238,                 1.3164,                0.00134,                0.00134,                0.00134
                      7,                 1.2962,                 1.3902,                 1.3846,                0.75343,                0.67213,                0.76587,                0.51814,                 1.2714,                 1.2881,                   1.18,               0.001208,               0.001208,               0.001208
                      8,                 1.1592,                 1.1566,                 1.2886,                 0.8577,                0.80328,                0.85108,                0.65821,                0.93346,                 1.1659,                0.99255,               0.001076,               0.001076,               0.001076
                      9,                 1.1554,                 1.0849,                 1.2815,                0.88197,                0.72131,                0.87641,                 0.6324,                 1.0053,                 1.1586,                 1.0672,               0.000944,               0.000944,               0.000944
                     10,                 1.0684,                 1.0765,                  1.248,                0.98888,                0.81967,                0.95616,                0.71378,                0.92372,                 0.7905,                 1.0122,               0.000812,               0.000812,               0.000812
                     11,                 1.0416,                0.98859,                 1.2229,                0.98767,                0.83607,                0.93947,                0.71855,                0.86411,                0.79022,                0.94827,                0.00068,                0.00068,                0.00068
                     12,                0.95814,                0.85508,                 1.1491,                0.94444,                0.83605,                0.92256,                0.69145,                0.96897,                0.81685,                0.98256,               0.000548,               0.000548,               0.000548
                     13,                 0.9156,                  0.798,                 1.1352,                0.97292,                0.86885,                0.94916,                0.76785,                0.82945,                0.63201,                0.95421,               0.000416,               0.000416,               0.000416
                     14,                0.86789,                0.74435,                 1.1135,                0.97544,                0.86885,                0.95627,                0.76843,                0.78526,                0.61264,                0.91328,               0.000284,               0.000284,               0.000284
                     15,                0.82516,                0.70573,                  1.094,                0.97768,                0.90164,                0.95764,                0.78605,                0.74028,                0.60228,                0.90334,               0.000152,               0.000152,               0.000152
