                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     17,                 1.3615,                  1.612,                 1.6619,                0.87801,                0.63934,                0.79855,                0.58249,                 1.1995,                  1.248,                 1.8354,              0.0013664,              0.0013664,              0.0013664
                     18,                  1.351,                 1.5042,                 1.6465,                0.74168,                0.55738,                0.63131,                 0.3577,                 1.6643,                 1.5814,                 2.1701,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.3001,                 1.4693,                 1.6097,                0.54167,                0.67815,                0.55884,                0.28412,                 1.5998,                 2.2872,                 2.1867,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.2517,                 1.3733,                 1.5562,                0.88165,                 0.7328,                0.89759,                0.66497,                 1.0647,                 1.1451,                 1.7302,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.2973,                  1.431,                 1.5892,                0.83916,                0.70492,                0.84107,                 0.5268,                 1.3386,                  1.172,                 1.8512,               0.001208,               0.001208,               0.001208
                     22,                 1.2209,                  1.327,                 1.5255,                0.74184,                0.75372,                0.81649,                0.54162,                 1.2666,                 1.2498,                 1.8138,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.2046,                 1.3348,                 1.5364,                0.81124,                0.86885,                0.89349,                0.61485,                 1.2361,                 1.1305,                 1.8114,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.1783,                 1.2858,                 1.4928,                0.86772,                0.75278,                0.84443,                0.57653,                 1.2595,                 1.1141,                 1.7956,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.1537,                 1.2246,                 1.4714,                0.88223,                0.73688,                0.87902,                0.62507,                 1.2024,                 1.0515,                 1.7712,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.1094,                 1.1264,                 1.4344,                0.87592,                0.81015,                0.87461,                0.65779,                 1.0996,                0.96735,                 1.7611,                0.00101,                0.00101,                0.00101
                     27,                  1.107,                  1.133,                 1.4304,                0.87571,                0.92411,                0.93797,                0.69727,                0.97156,                0.88517,                 1.5812,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.1489,                 1.1626,                 1.4791,                0.87626,                0.81266,                0.89614,                0.67359,                 1.0273,                0.96763,                 1.6082,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.1003,                 1.1044,                 1.4423,                0.91295,                0.86885,                0.92233,                0.70711,                0.91981,                0.82151,                 1.5186,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.0633,                 1.1224,                 1.4153,                0.94373,                0.88525,                0.92269,                0.71027,                0.98497,                0.81882,                 1.6448,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.0667,                 1.1014,                 1.4092,                0.89797,                 0.8657,                0.92817,                0.72816,                0.92386,                0.78426,                 1.5198,               0.000812,               0.000812,               0.000812
                     32,                0.99927,                 1.0164,                 1.3693,                0.92571,                0.81709,                0.92752,                0.73381,                0.87015,                0.76532,                 1.4429,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.0646,                 1.0488,                  1.409,                0.94934,                0.93443,                0.95687,                0.74484,                0.86811,                0.71157,                 1.4625,              0.0007328,              0.0007328,              0.0007328
                     34,                0.94587,                0.94722,                 1.3115,                0.91261,                0.85605,                0.91482,                0.68704,                0.99916,                0.78209,                 1.5842,              0.0006932,              0.0006932,              0.0006932
                     35,                  1.015,                 1.0188,                 1.3774,                 0.8841,                0.88525,                0.92023,                0.73748,                0.92902,                0.84137,                  1.519,              0.0006536,              0.0006536,              0.0006536
                     36,                0.95705,                0.97633,                  1.351,                 0.9204,                0.94778,                0.95478,                 0.7695,                0.79583,                0.65313,                 1.4533,               0.000614,               0.000614,               0.000614
                     37,                0.96779,                0.92404,                 1.3272,                0.94228,                0.90164,                0.93106,                 0.7509,                0.83928,                0.68137,                 1.4387,              0.0005744,              0.0005744,              0.0005744
                     38,                0.92365,                0.87921,                 1.2943,                0.93916,                0.85246,                0.94046,                0.75426,                0.82867,                0.68744,                 1.4628,              0.0005348,              0.0005348,              0.0005348
                     39,                  0.918,                0.86229,                 1.3109,                0.94891,                0.91343,                0.94864,                0.76325,                0.84109,                0.66602,                 1.4405,              0.0004952,              0.0004952,              0.0004952
                     40,                0.90618,                0.83025,                 1.2922,                0.87518,                0.93443,                0.93794,                0.76302,                0.80111,                0.63585,                 1.4336,              0.0004556,              0.0004556,              0.0004556
                     41,                0.81995,                0.73146,                 1.3055,                  0.934,                0.92801,                0.97159,                0.78329,                0.79342,                 0.6322,                 1.3992,               0.000416,               0.000416,               0.000416
                     42,                0.82123,                0.71301,                 1.3044,                0.92727,                0.90164,                0.94874,                0.77079,                0.82935,                0.59093,                 1.4418,              0.0003764,              0.0003764,              0.0003764
                     43,                0.77546,                0.63741,                 1.2547,                 0.9223,                0.93443,                0.95323,                0.76946,                0.79562,                 0.5579,                 1.4053,              0.0003368,              0.0003368,              0.0003368
                     44,                0.75404,                0.64155,                 1.2574,                0.95918,                0.93443,                0.96561,                0.79378,                0.77233,                0.57165,                 1.3969,              0.0002972,              0.0002972,              0.0002972
                     45,                0.76462,                0.64207,                 1.2408,                 0.9802,                0.93443,                0.96599,                0.78394,                0.79925,                0.54115,                 1.4065,              0.0002576,              0.0002576,              0.0002576
                     46,                0.72751,                 0.6219,                 1.2374,                 0.9494,                0.95082,                0.96432,                0.81781,                0.73453,                0.52517,                 1.3459,               0.000218,               0.000218,               0.000218
                     47,                0.70927,                0.59656,                 1.2119,                0.96529,                0.91196,                0.95415,                0.77832,                0.76364,                0.53561,                 1.3827,              0.0001784,              0.0001784,              0.0001784
                     48,                0.69776,                0.58758,                 1.2124,                0.96164,                0.93443,                0.95516,                0.79141,                0.71607,                 0.5448,                 1.3327,              0.0001388,              0.0001388,              0.0001388
                     49,                0.66868,                0.55578,                 1.1868,                0.96348,                0.93443,                0.95445,                0.81204,                0.74019,                 0.5634,                 1.3555,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.67706,                0.57858,                 1.1877,                0.96603,                0.93443,                0.95428,                 0.7984,                0.76717,                0.50934,                 1.3899,               5.96e-05,               5.96e-05,               5.96e-05
