                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8326,                 4.0757,                 1.9958,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00065041,             0.00065041,             0.00065041
                      2,                 2.1344,                 3.0165,                 2.2765,                0.00083,                0.18033,                 0.0005,                0.00024,                    nan,                    nan,                    nan,               0.001291,               0.001291,               0.001291
                      3,                 2.0357,                 2.6951,                 2.2032,                0.00211,                0.01639,                0.00019,                  5e-05,                 5.7486,                 39.614,                 11.614,              0.0019052,              0.0019052,              0.0019052
                      4,                 2.0008,                 2.6809,                 2.1937,                0.00096,                0.01639,                0.00011,                  5e-05,                 4.7289,                 302.63,                 13.987,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.8728,                 2.4965,                 2.0605,                0.00056,                0.13115,                 0.0003,                0.00014,                  4.179,                    inf,                 46.174,              0.0018416,              0.0018416,              0.0018416
                      6,                  1.799,                  2.316,                 2.0305,                0.29756,                0.18033,                0.10324,                0.05864,                 2.8449,                  3.827,                 3.0786,               0.001802,               0.001802,               0.001802
                      7,                 1.7752,                 2.2657,                 1.9855,                 0.3307,                0.21311,                0.21678,                0.07131,                  2.324,                 2.7136,                 2.6819,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.6542,                 2.0514,                 1.9082,                0.41567,                0.43155,                 0.3497,                0.16073,                 1.8973,                 2.0004,                 2.4619,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.6794,                 2.0751,                 1.9025,                0.27883,                 0.2623,                0.19166,                0.07339,                 2.0898,                 2.5922,                 2.4431,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.6091,                 2.0057,                 1.8633,                0.66713,                0.60656,                0.68049,                0.40306,                 1.3949,                 2.0085,                 2.0027,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.5541,                 1.9369,                 1.8109,                0.68052,                0.67213,                0.72408,                0.47008,                 1.3914,                 1.8014,                 1.9886,               0.001604,               0.001604,               0.001604
                     12,                 1.5215,                 1.7725,                   1.78,                 0.4827,                0.45902,                 0.4258,                 0.2019,                 1.9308,                 2.1194,                 2.4699,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.4758,                 1.7584,                 1.7379,                0.76333,                 0.5288,                0.64985,                0.39154,                 1.5435,                   1.72,                 2.0395,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.4655,                 1.7206,                 1.7295,                0.73602,                0.63991,                0.73076,                0.45976,                 1.4612,                 1.4951,                 1.9969,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.4527,                 1.7263,                 1.7261,                0.57819,                 0.5169,                0.52145,                0.24303,                 1.7956,                 1.8729,                 2.3047,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.3667,                 1.5219,                 1.6468,                0.70684,                 0.4349,                0.57219,                0.31027,                 1.7299,                 1.9103,                 2.2687,               0.001406,               0.001406,               0.001406
