                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.482,                 3.5529,                 1.4726,                0.56643,                0.40984,                0.42544,                0.25977,                  1.481,                 2.3703,                 1.4716,             0.00065041,             0.00065041,             0.00065041
                      2,                 1.5325,                 1.8915,                 1.4972,                0.11765,                0.39344,                 0.0898,                 0.0447,                  2.461,                 63.544,                 3.5828,              0.0012301,              0.0012301,              0.0012301
                      3,                 1.5474,                 1.8101,                 1.5456,                 0.1513,                0.18033,                0.13099,                0.05143,                 2.7059,                 3.5918,                 2.5848,              0.0017219,              0.0017219,              0.0017219
                      4,                 1.5178,                 1.6447,                 1.5347,                0.26345,                0.37705,                0.20405,                 0.1034,                 1.5917,                 8.8616,                 1.6713,               0.001604,               0.001604,               0.001604
                      5,                 1.4822,                 1.6288,                 1.4828,                0.59544,                 0.5082,                 0.5345,                0.33287,                 1.3694,                      8,                 1.4188,               0.001472,               0.001472,               0.001472
                      6,                 1.3754,                 1.4386,                 1.4442,                0.78421,                0.77049,                0.82088,                0.53921,                  1.281,                 2.1581,                 1.2962,                0.00134,                0.00134,                0.00134
                      7,                 1.2496,                 1.2753,                 1.3692,                0.82019,                0.78689,                0.84277,                0.51865,                 1.3072,                 1.2206,                  1.322,               0.001208,               0.001208,               0.001208
                      8,                 1.1879,                 1.1655,                 1.3127,                0.87974,                0.83947,                0.91808,                  0.668,                 1.1243,                 1.0375,                 1.0947,               0.001076,               0.001076,               0.001076
                      9,                 1.1043,                 1.0478,                 1.2571,                0.81231,                 0.7541,                0.85051,                0.60894,                 1.0315,                0.99763,                 1.0532,               0.000944,               0.000944,               0.000944
                     10,                 1.0564,                 1.0583,                 1.2455,                0.98101,                0.84691,                0.92545,                0.72763,                0.91724,                0.78286,                0.97948,               0.000812,               0.000812,               0.000812
                     11,                0.96718,                0.90662,                 1.1875,                0.96279,                0.85246,                 0.9196,                0.70299,                0.88934,                0.78041,                0.98692,                0.00068,                0.00068,                0.00068
                     12,                0.92955,                0.85071,                  1.148,                0.94638,                0.86798,                0.94901,                0.73208,                0.94975,                0.65734,                0.98925,               0.000548,               0.000548,               0.000548
                     13,                0.89935,                0.77597,                 1.1398,                0.95302,                0.86885,                0.96378,                0.77485,                0.82863,                0.60823,                0.93093,               0.000416,               0.000416,               0.000416
                     14,                0.86553,                0.71445,                   1.12,                0.93479,                0.94006,                 0.9694,                0.79276,                0.73779,                 0.5214,                0.88195,               0.000284,               0.000284,               0.000284
                     15,                0.78959,                0.68589,                 1.0894,                0.94911,                0.91723,                0.97139,                0.80818,                0.73461,                0.51948,                0.89605,               0.000152,               0.000152,               0.000152
