                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.80893,                0.71006,                 1.0913,                0.99869,                0.95082,                0.97463,                0.84508,                0.64854,                0.46697,                0.86084,              0.0006536,              0.0006536,              0.0006536
                     36,                0.76546,                0.66158,                 1.0658,                0.98257,                0.95082,                0.97981,                0.81677,                0.69406,                0.44729,                0.87131,               0.000614,               0.000614,               0.000614
                     37,                0.76221,                0.64288,                 1.0577,                0.99698,                0.95082,                 0.9836,                0.83685,                0.62167,                0.39923,                0.85571,              0.0005744,              0.0005744,              0.0005744
                     38,                0.76287,                0.64941,                   1.06,                0.98339,                0.97057,                0.98579,                 0.8292,                0.64643,                0.39541,                0.86536,              0.0005348,              0.0005348,              0.0005348
                     39,                0.72855,                0.63673,                 1.0539,                      1,                0.93084,                0.98186,                0.83524,                0.66299,                0.42812,                0.87896,              0.0004952,              0.0004952,              0.0004952
                     40,                 0.7032,                0.60389,                 1.0361,                0.95206,                0.97686,                0.98407,                0.83251,                 0.6039,                0.39555,                0.85183,              0.0004556,              0.0004556,              0.0004556
                     41,                 0.6581,                0.52044,                 1.0274,                 0.9337,                0.96721,                0.97256,                0.82867,                0.68526,                0.41838,                0.86818,               0.000416,               0.000416,               0.000416
                     42,                0.63693,                0.49661,                 1.0174,                0.98302,                0.94924,                 0.9828,                0.85526,                0.63994,                0.39072,                0.87098,              0.0003764,              0.0003764,              0.0003764
                     43,                 0.5957,                0.47869,                0.99302,                0.96567,                0.96721,                0.97963,                0.84964,                 0.6178,                 0.4069,                0.86296,              0.0003368,              0.0003368,              0.0003368
                     44,                0.56306,                0.44229,                 0.9855,                0.98357,                0.98168,                0.98695,                0.85527,                0.62133,                0.37054,                0.86245,              0.0002972,              0.0002972,              0.0002972
                     45,                0.57167,                 0.4472,                0.97238,                0.98326,                0.98361,                0.98707,                0.86541,                0.62181,                0.37131,                0.87076,              0.0002576,              0.0002576,              0.0002576
                     46,                0.55645,                0.42948,                0.97048,                      1,                0.97854,                0.98677,                0.86213,                0.61669,                0.33601,                0.84657,               0.000218,               0.000218,               0.000218
                     47,                0.55304,                0.41825,                0.96767,                0.99497,                0.98361,                0.98694,                0.85344,                0.61862,                0.35411,                0.84883,              0.0001784,              0.0001784,              0.0001784
                     48,                0.53138,                0.43977,                0.96417,                0.99472,                0.98361,                 0.9869,                0.86437,                0.60862,                0.35663,                0.84483,              0.0001388,              0.0001388,              0.0001388
                     49,                0.51191,                0.40564,                0.95443,                      1,                0.98224,                0.98699,                 0.8584,                 0.5964,                 0.3362,                0.84141,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 0.5083,                0.39507,                0.95443,                0.99962,                0.98361,                0.98719,                0.87209,                0.58685,                0.33619,                0.84394,               5.96e-05,               5.96e-05,               5.96e-05
