                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4549,                 3.5655,                 1.4833,                0.33724,                0.19672,                0.17664,                0.08539,                 3.2994,                 4.7693,                 3.5725,             0.00065041,             0.00065041,             0.00065041
                      2,                 1.5559,                  1.837,                 1.5485,                   0.05,                0.16393,                 0.0419,                0.01184,                 2.5351,                  59.45,                 2.8937,              0.0012301,              0.0012301,              0.0012301
                      3,                 1.4909,                 1.6379,                 1.5586,                0.17396,                 0.2459,                0.11662,                0.02841,                 3.0508,                 7.0007,                 3.8601,              0.0017219,              0.0017219,              0.0017219
                      4,                 1.5329,                 1.7159,                 1.5891,                0.17782,                0.32787,                0.18643,                0.07196,                 2.1313,                 9.0304,                 2.7524,               0.001604,               0.001604,               0.001604
                      5,                 1.4756,                 1.6163,                 1.5312,                0.64161,                0.62295,                0.65126,                0.40801,                 1.3299,                 5.4175,                 1.4588,               0.001472,               0.001472,               0.001472
                      6,                 1.3631,                 1.4454,                 1.4787,                0.48388,                0.36895,                 0.4153,                0.24516,                 1.6445,                 3.9983,                 1.6551,                0.00134,                0.00134,                0.00134
                      7,                  1.268,                 1.3113,                 1.4143,                0.63063,                0.80328,                0.76138,                0.45131,                 1.2651,                 1.6892,                 1.2844,               0.001208,               0.001208,               0.001208
                      8,                 1.1735,                 1.1582,                  1.343,                0.83391,                0.74084,                0.86931,                0.60139,                 1.1885,                 1.0717,                 1.1924,               0.001076,               0.001076,               0.001076
                      9,                 1.1323,                 1.0815,                 1.3036,                0.77246,                0.72354,                0.83361,                0.57439,                 1.2072,                  1.105,                 1.2291,               0.000944,               0.000944,               0.000944
                     10,                 1.0627,                 1.0526,                 1.2683,                0.93712,                0.83607,                0.91226,                0.65242,                  1.084,                0.86321,                 1.1228,               0.000812,               0.000812,               0.000812
                     11,                 1.0165,                 0.9612,                  1.226,                 0.9015,                0.86885,                0.93827,                0.73911,                0.91152,                0.79578,                0.99768,                0.00068,                0.00068,                0.00068
                     12,                0.90971,                0.81668,                  1.169,                 0.9073,                0.86885,                0.93245,                0.69798,                0.96088,                0.76998,                  1.002,               0.000548,               0.000548,               0.000548
                     13,                0.86789,                0.77538,                 1.1381,                0.92736,                0.86885,                0.92322,                0.73963,                0.84574,                0.71588,                0.96649,               0.000416,               0.000416,               0.000416
                     14,                0.85388,                0.72508,                 1.1393,                0.96522,                0.91004,                0.96859,                0.78046,                0.74716,                0.58392,                 0.9485,               0.000284,               0.000284,               0.000284
                     15,                0.80667,                0.71312,                  1.105,                0.96044,                0.90164,                0.96566,                0.79294,                0.79473,                0.57697,                0.95233,               0.000152,               0.000152,               0.000152
